v,X,Y,r,cos_theta,sin_theta,dBA
10.0,-379.26901907322497,4.644705902237815e-14,379.26901907322497,-1.0,1.2246467991473535e-16,36.336461604
10.0,-428.1332398719396,5.243120018177568e-14,428.1332398719396,-1.0,1.2246467991473532e-16,35.409043492
10.0,-483.2930238571752,5.918632547169352e-14,483.2930238571752,-1.0,1.2246467991473535e-16,34.460101864
10.0,-545.559478116852,6.681176686203033e-14,545.559478116852,-1.0,1.2246467991473532e-16,33.492987908
10.0,-615.8482110660267,7.541965404426332e-14,615.8482110660267,-1.0,1.2246467991473532e-16,32.51075026
10.0,-695.1927961775606,8.513656326291479e-14,695.1927961775606,-1.0,1.2246467991473532e-16,31.515999276
10.0,-784.7599703514607,9.610537857898881e-14,784.7599703514607,-1.0,1.2246467991473532e-16,30.510778872
10.0,-885.8667904100823,1.0848739293466467e-13,885.8667904100823,-1.0,1.2246467991473535e-16,29.49704266
10.0,-1000.0,1.2246467991473532e-13,1000.0,-1.0,1.2246467991473532e-16,28.476396868000005
10.0,92.38795325112868,38.268343236508976,100.0,0.9238795325112867,0.3826834323650898,44.543585232
10.0,104.29102236506776,43.19875589736685,112.88378916846897,0.9238795325112867,0.38268343236508984,44.058096568
10.0,117.72765780822375,48.76439253058509,127.42749857031335,0.9238795325112867,0.38268343236508984,43.517419276
10.0,132.89544103321188,55.047094053510286,143.8449888287663,0.9238795325112867,0.3826834323650898,42.92080106
10.0,150.0174094704377,62.13924559473329,162.3776739188721,0.9238795325112867,0.3826834323650898,42.269138552
10.0,169.34533622260767,70.14513498803586,183.29807108324357,0.9238795325112867,0.3826834323650898,41.563319732
10.0,191.1634323081633,79.18248629183233,206.91380811147897,0.9238795325112868,0.3826834323650898,40.806803804000005
10.0,215.7925258939557,89.38419088402375,233.5721469090121,0.9238795325112868,0.3826834323650898,40.002551996
10.0,243.59477997144677,100.90026158746322,263.66508987303587,0.9238795325112867,0.3826834323650897,39.155545628000006
10.0,274.9790178483637,113.90003856082564,297.6351441631319,0.9238795325112866,0.38268343236508984,38.270819096
10.0,310.4067347654732,128.5746793918071,335.9818286283781,0.9238795325112866,0.3826834323650898,37.353855304
10.0,350.39888403738536,145.13997000868244,379.26901907322497,0.9238795325112867,0.3826834323650898,36.409483012
10.0,395.5435375054301,163.83949774378016,428.13323987193957,0.9238795325112867,0.38268343236508984,35.442491020000006
10.0,446.5045329471332,184.94823320776703,483.2930238571752,0.9238795325112867,0.3826834323650898,34.456843612
10.0,504.0312355996988,208.776573645064,545.559478116852,0.9238795325112867,0.3826834323650897,33.456124464
10.0,568.969557337593,235.67490722664732,615.8482110660266,0.9238795325112868,0.3826834323650898,32.443520724
10.0,642.2743955377389,266.0387653967132,695.1927961775606,0.9238795325112867,0.38268343236508984,31.421353136000004
10.0,725.0236745418787,300.31463903682305,784.7599703514605,0.9238795325112868,0.38268343236508984,30.391752548
10.0,818.4341961913409,339.0065439723759,885.8667904100823,0.9238795325112867,0.3826834323650897,29.3562465
10.0,923.8795325112868,382.6834323650898,1000.0000000000001,0.9238795325112867,0.3826834323650898,28.316286216
10.0,-92.38795325112868,-38.26834323650897,100.0,-0.9238795325112867,-0.38268343236508967,44.093269424
10.0,-104.29102236506776,-43.19875589736683,112.88378916846897,-0.9238795325112867,-0.3826834323650896,43.583645752
10.0,-117.72765780822375,-48.76439253058507,127.42749857031333,-0.9238795325112868,-0.3826834323650897,43.01891984400001
10.0,-132.89544103321188,-55.04709405351027,143.8449888287663,-0.9238795325112867,-0.38268343236508967,42.403471292
10.0,-150.0174094704377,-62.13924559473328,162.3776739188721,-0.9238795325112867,-0.3826834323650897,41.740873152000006
10.0,-169.3453362226077,-70.14513498803584,183.2980710832436,-0.9238795325112867,-0.38268343236508956,41.032794492
10.0,-191.16343230816327,-79.18248629183232,206.91380811147894,-0.9238795325112867,-0.3826834323650898,40.282157764
10.0,-215.7925258939557,-89.38419088402374,233.5721469090121,-0.9238795325112868,-0.3826834323650897,39.490658584
10.0,-243.5947799714468,-100.9002615874632,263.66508987303587,-0.9238795325112868,-0.38268343236508967,38.661674172
10.0,-274.9790178483638,-113.90003856082562,297.63514416313194,-0.9238795325112868,-0.38268343236508967,37.798604996
10.0,-310.40673476547323,-128.57467939180708,335.9818286283781,-0.9238795325112868,-0.38268343236508967,36.905457404
10.0,-350.3988840373854,-145.13997000868238,379.26901907322497,-0.9238795325112868,-0.38268343236508967,35.985844292
10.0,-395.54353750543015,-163.8394977437801,428.13323987193957,-0.9238795325112868,-0.38268343236508967,35.043596384
10.0,-446.50453294713327,-184.94823320776695,483.2930238571752,-0.9238795325112868,-0.3826834323650896,34.081991768
