generation,current_best_fitness,global_best_fitness,population_mean_fitness,population_median_fitness,population_std_fitness,current_best_expected_power_kw,global_best_expected_power_kw,population_mean_expected_power_kw,current_best_worst_noise_dba,global_best_worst_noise_dba,population_mean_worst_noise_dba,current_best_spacing_penalty,current_best_noise_penalty,current_best_border_penalty,population_mean_spacing_penalty,population_mean_noise_penalty,population_mean_border_penalty,zero_total_penalty_fraction
35,19355.09300745509,19355.09300745509,9800.586126569922,18478.067921715356,22251.337373536502,19807.438575974564,19807.438575974564,19228.827791463173,36.14574156873693,36.14574156873693,37.67489534578725,0.0,452.34556851947536,0.0,8362.013051254798,1066.2286136384525,0.0,0.0
36,19360.438943694255,19360.438943694255,7010.097725495204,18481.080588794513,26673.4993024897,19807.749186489862,19807.749186489862,19251.844969545025,36.40463012166392,36.40463012166392,37.709350853870525,0.0,447.31024279560637,0.0,11118.037209226764,1123.710034823056,0.0,0.0
37,19360.438943694255,19360.438943694255,9651.884699536315,18835.344895095877,23281.01539539163,19807.749186489862,19807.749186489862,19278.503169598353,36.40463012166392,36.40463012166392,37.40758892371944,0.0,447.31024279560637,0.0,8663.620760425136,962.9977096369018,0.0,0.0
38,19360.438943694255,19360.438943694255,11724.262495547515,18761.821402868074,23370.84048425678,19807.749186489862,19807.749186489862,19299.618895567786,36.40463012166392,36.40463012166392,37.69930721704995,0.0,447.31024279560637,0.0,6475.819000835287,1099.5373991849879,0.0,0.0
39,19375.429369140602,19375.429369140602,9913.360912798691,18811.671738119032,25291.895405087296,19807.711184212032,19807.711184212032,19218.187011064285,36.1430501351566,36.1430501351566,37.74140154164748,0.0,432.28181507142847,0.0,8195.15092318869,1109.6751750769054,0.0,0.0
40,19375.429369140602,19375.429369140602,11765.26975231235,18787.56912300933,17833.250142345627,19807.711184212032,19807.711184212032,19371.641624527216,36.1430501351566,36.1430501351566,37.47616975484986,0.0,432.28181507142847,0.0,6612.091171428545,994.2807007863229,0.0,0.0
41,19375.429369140602,19375.429369140602,11258.281692551289,18862.736122697424,20384.51794786453,19807.711184212032,19807.711184212032,19370.638657872223,36.1430501351566,36.1430501351566,37.58930402147591,0.0,432.28181507142847,0.0,7070.240350683984,1042.116614636956,0.0,0.0
42,19375.429369140602,19375.429369140602,7514.246192217804,18697.46385611474,26847.224545037414,19807.711184212032,19807.711184212032,19271.977773559924,36.1430501351566,36.1430501351566,37.79071267412282,0.0,432.28181507142847,0.0,10628.65308288337,1129.0784984587478,0.0,0.0
43,19378.886026456727,19378.886026456727,9757.766271624094,18754.571662259623,20374.71632563231,19807.61365668812,19807.61365668812,19368.350907192544,36.10770356827567,36.10770356827567,37.732222926894536,0.0,428.7276302313958,0.0,8496.096399998896,1114.4882355695545,0.0,0.0
44,19379.01263786749,19379.01263786749,9207.22952908756,18507.395916360638,25020.552526300027,19807.740268098885,19807.740268098885,19205.096924022153,36.10770356827567,36.10770356827567,37.71724678176537,0.0,428.7276302313958,0.0,8915.100075484534,1082.7673194500533,0.0,0.0
45,19380.222565642307,19380.222565642307,10029.438252872676,18734.734571324432,19051.2758707171,19807.52860769416,19807.52860769416,19311.860483609067,36.10533543061429,36.10533543061429,37.56254814813213,0.0,427.30604205185386,0.0,8239.030318778321,1043.3919119580712,0.0,0.0
46,19380.222565642307,19380.222565642307,9308.387280477235,18673.241098943174,21727.871692179924,19807.52860769416,19807.52860769416,19357.334734859367,36.10533543061429,36.10533543061429,37.7193747776372,0.0,427.30604205185386,0.0,8931.126467009826,1117.8209873723065,0.0,0.0
47,19380.222565642307,19380.222565642307,12912.329558246558,18614.867955756134,14124.735008260652,19807.52860769416,19807.52860769416,19423.81308601992,36.10533543061429,36.10533543061429,37.86820154380445,0.0,427.30604205185386,0.0,5326.644745758656,1184.838782014703,0.0,0.0
48,19382.63637760615,19382.63637760615,10548.864153638873,18222.7955463073,22754.34558303325,19807.692599778507,19807.692599778507,19150.75236198918,36.095481540544796,36.095481540544796,37.63768112333632,0.0,425.05622217235646,0.0,7535.373790414583,1066.5144179357246,0.0,0.0
49,19382.63637760615,19382.63637760615,8335.55217781441,18694.956646635925,31133.153906027597,19807.692599778507,19807.692599778507,19093.558244430016,36.095481540544796,36.095481540544796,37.62925898612474,0.0,425.05622217235646,0.0,9706.708641773219,1051.2974248423895,0.0,0.0
50,19382.63640134693,19382.63640134693,10166.042570081607,18924.771089112717,22185.399128585042,19807.692623519284,19807.692623519284,19298.671586669305,36.095481540544796,36.095481540544796,37.65568930269677,0.0,425.05622217235646,0.0,8032.674286580882,1099.9547300068193,0.0,0.0
